,exited,is_greater,correlation
0,1,1,1
1,0,1,0
2,1,1,1
3,0,0,1
4,0,0,1
5,1,1,1
6,0,0,1
7,1,1,1
8,0,0,1
9,0,0,1
10,0,0,1
11,0,0,1
12,0,0,1
13,0,1,0
14,0,0,1
15,0,0,1
16,1,0,0
17,0,0,1
18,0,1,0
19,0,0,1
20,0,1,0
21,0,1,0
22,1,1,1
23,0,0,1
24,0,1,0
25,0,1,0
26,0,1,0
27,0,0,1
28,0,1,0
29,0,0,1
30,1,1,1
31,0,1,0
32,0,0,1
33,0,0,1
34,0,1,0
35,1,0,0
36,0,1,0
37,0,1,0
38,0,0,1
39,0,1,0
40,0,0,1
41,1,1,1
42,0,0,1
43,1,1,1
44,0,1,0
45,0,1,0
46,1,1,1
47,1,1,1
48,0,0,1
49,0,1,0
50,0,1,0
51,0,0,1
52,0,1,0
53,1,1,1
54,1,0,0
55,0,1,0
56,0,0,1
57,0,0,1
58,1,0,0
59,0,0,1
60,0,0,1
61,0,1,0
62,0,1,0
63,0,1,0
64,0,0,1
65,0,0,1
66,0,1,0
67,0,1,0
68,0,1,0
69,0,0,1
70,1,0,0
71,0,0,1
72,0,0,1
73,0,0,1
74,0,1,0
75,0,0,1
76,0,1,0
77,0,1,0
78,0,1,0
79,0,1,0
80,0,1,0
81,1,1,1
82,0,0,1
83,0,1,0
84,0,0,1
85,0,1,0
86,1,1,1
87,0,1,0
88,1,0,0
89,0,1,0
90,1,1,1
91,0,1,0
92,0,1,0
93,0,1,0
94,0,0,1
95,0,1,0
96,0,0,1
97,0,1,0
98,0,1,0
99,0,0,1
100,0,1,0
101,0,1,0
102,0,0,1
103,0,0,1
104,1,1,1
105,1,0,0
106,0,0,1
107,0,0,1
108,0,0,1
109,1,1,1
110,0,0,1
111,0,0,1
112,0,0,1
113,0,0,1
114,1,1,1
115,0,0,1
116,0,1,0
117,0,0,1
118,1,1,1
119,0,1,0
120,0,0,1
121,0,1,0
122,0,1,0
123,0,1,0
124,0,1,0
125,1,1,1
126,1,0,0
127,1,0,0
128,0,1,0
129,0,1,0
130,0,1,0
131,0,1,0
132,0,0,1
133,0,0,1
134,0,1,0
135,0,0,1
136,0,1,0
137,0,0,1
138,1,0,0
139,1,0,0
140,0,1,0
141,0,1,0
142,0,1,0
143,1,1,1
144,1,1,1
145,0,0,1
146,0,1,0
147,0,0,1
148,0,0,1
149,0,0,1
150,0,0,1
151,1,1,1
152,0,1,0
153,0,1,0
154,0,1,0
155,1,0,0
156,0,0,1
157,0,0,1
158,0,1,0
159,0,1,0
160,0,0,1
161,0,0,1
162,0,0,1
163,0,1,0
164,1,0,0
165,0,1,0
166,1,1,1
167,0,1,0
168,1,0,0
169,0,0,1
170,0,1,0
171,0,1,0
172,1,0,0
173,0,1,0
174,0,1,0
175,0,0,1
176,0,1,0
177,0,1,0
178,0,0,1
179,1,0,0
180,0,0,1
181,0,0,1
182,0,1,0
183,0,0,1
184,1,0,0
185,0,0,1
186,0,1,0
187,0,1,0
188,0,1,0
189,0,1,0
190,1,0,0
191,0,0,1
192,0,1,0
193,0,0,1
194,0,1,0
195,0,0,1
196,0,0,1
197,0,1,0
198,0,0,1
199,0,0,1
200,0,0,1
201,0,1,0
202,1,1,1
203,1,0,0
204,0,0,1
205,0,1,0
206,1,1,1
207,0,1,0
208,1,1,1
209,0,1,0
210,0,1,0
211,0,1,0
212,0,0,1
213,0,0,1
214,0,0,1
215,1,1,1
216,0,1,0
217,0,1,0
218,1,0,0
219,1,0,0
220,0,0,1
221,0,1,0
222,0,1,0
223,1,0,0
224,1,1,1
225,0,1,0
226,0,0,1
227,1,0,0
228,1,0,0
229,0,0,1
230,0,1,0
231,0,0,1
232,0,1,0
233,0,1,0
234,0,0,1
235,1,0,0
236,0,1,0
237,1,0,0
238,1,0,0
239,0,1,0
240,0,1,0
241,0,1,0
242,0,0,1
243,1,0,0
244,0,0,1
245,1,1,1
246,0,0,1
247,0,1,0
248,0,1,0
249,1,1,1
250,0,1,0
251,0,0,1
252,0,1,0
253,0,0,1
254,0,1,0
255,0,0,1
256,0,1,0
257,0,1,0
258,0,0,1
259,0,1,0
260,0,0,1
261,0,0,1
262,0,0,1
263,0,1,0
264,0,0,1
265,0,1,0
266,0,1,0
267,0,0,1
268,1,0,0
269,0,1,0
270,0,1,0
271,1,0,0
272,0,1,0
273,0,0,1
274,0,0,1
275,0,1,0
276,1,0,0
277,0,1,0
278,0,1,0
279,1,1,1
280,0,0,1
281,0,0,1
282,1,0,0
283,0,0,1
284,0,1,0
285,0,0,1
286,0,1,0
287,0,1,0
288,0,1,0
289,0,0,1
290,0,1,0
291,0,1,0
292,0,0,1
293,1,1,1
294,0,1,0
295,0,0,1
296,0,1,0
297,1,1,1
298,0,1,0
299,0,1,0
300,0,1,0
301,0,0,1
302,0,0,1
303,0,1,0
304,0,0,1
305,0,0,1
306,1,1,1
307,0,0,1
308,1,1,1
309,0,0,1
310,0,1,0
311,0,1,0
312,0,1,0
313,0,1,0
314,0,0,1
315,0,0,1
316,1,1,1
317,0,0,1
318,0,0,1
319,0,0,1
320,0,0,1
321,0,0,1
322,1,1,1
323,0,0,1
324,0,1,0
325,0,1,0
326,0,1,0
327,1,1,1
328,0,1,0
329,0,0,1
330,0,0,1
331,0,0,1
332,0,1,0
333,1,1,1
334,0,0,1
335,1,1,1
336,0,1,0
337,0,0,1
338,1,0,0
339,1,0,0
340,1,0,0
341,0,1,0
342,0,0,1
343,0,1,0
344,0,0,1
345,0,0,1
346,0,1,0
347,0,0,1
348,0,1,0
349,0,1,0
350,0,1,0
351,0,0,1
352,0,0,1
353,0,0,1
354,0,1,0
355,0,1,0
356,0,1,0
357,1,1,1
358,0,1,0
359,0,0,1
360,0,1,0
361,1,0,0
362,0,1,0
363,0,0,1
364,0,1,0
365,0,1,0
366,0,1,0
